GraduatedYr,FacName,FacName.1,gender,AgeGrad,Nationality,EntryChannel,MUET,Program,CGPA,YearEntry,YearGrad,Status,JobGroup,jobassurance,JobStatusCategory,JobIncome,JobNumber
2022,FSKTM,Fac1,Male,23,Malaysian,Asasi UPM,Band 3,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.86,2018,2022,Bekerja sepenuh masa,Profesional,Private workers (including NGOs),Contract,"RM2,501- RM3,000",Pertama
2022,FSKTM,Fac1,Female,23,Malaysian,Matrikulasi KPM,Band 3,BACELOR SAINS KOMPUTER (MULTIMEDIA),3.13,2018,2022,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2022,FSKTM,Fac1,Male,24,Malaysian,STPM Aliran Sains,Band 4,BACELOR SAINS KOMPUTER (MULTIMEDIA),3.59,2018,2022,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2022,FSKTM,Fac1,Female,23,Malaysian,Matrikulasi KPM,Band 4,BACELOR SAINS KOMPUTER (MULTIMEDIA),3.74,2018,2022,Bekerja sepenuh masa,Pekerja Perkhidmatan dan Jualan,Private workers (including NGOs),Permanent,"RM1,501- RM2,000",Pertama
2022,FSKTM,Fac1,Female,23,Malaysian,Matrikulasi KPM,Band 4,BACELOR SAINS KOMPUTER (MULTIMEDIA),3.44,2018,2022,Bekerja sepenuh masa,Profesional,Private workers (including NGOs),Contract,"RM2,501- RM3,000",Pertama
2022,FSKTM,Fac1,Male,24,Malaysian,STPM Aliran Sains,Band 4,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.79,2018,2022,Bekerja sepenuh masa,Profesional,Private workers (including NGOs),Contract,"RM3,001- RM4,000",Pertama
2022,FSKTM,Fac1,Male,24,Malaysian,STPM Aliran Sains,Band 4,BACELOR SAINS KOMPUTER (MULTIMEDIA),3.68,2018,2022,Bekerja sepenuh masa,Profesional,Private workers (including NGOs),Permanent,"RM3,001- RM4,000",Pertama
2022,FSKTM,Fac1,Female,23,Malaysian,Matrikulasi KPM,Band 5,BACELOR SAINS KOMPUTER (MULTIMEDIA),3.64,2018,2022,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2022,FSKTM,Fac1,Female,23,Malaysian,Matrikulasi KPM,Band 3,BACELOR SAINS KOMPUTER (MULTIMEDIA),3.49,2018,2022,Bekerja sepenuh masa,Profesional,Private workers (including NGOs),Contract,"RM1,501- RM2,000",Pertama
2022,FSKTM,Fac1,Female,23,Malaysian,Matrikulasi KPM,Band 4,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.63,2018,2022,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2022,FSKTM,Fac1,Male,25,Malaysian,Diploma,Band 4,BACELOR SAINS KOMPUTER (MULTIMEDIA),3.54,2018,2022,Bekerja sepenuh masa,Profesional,Private workers (including NGOs),Permanent,"RM3,001- RM4,000",Pertama
2022,FSKTM,Fac1,Female,24,Malaysian,Matrikulasi KPM,Band 3,BACELOR SAINS KOMPUTER (MULTIMEDIA),3.22,2018,2022,Bekerja sepenuh masa,Profesional,Government employees,Contract,"RM1,501- RM2,000",Pertama
2022,FSKTM,Fac1,Male,23,Malaysian,Asasi UPM,Band 3,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.77,2018,2022,Bekerja sepenuh masa,Profesional,Private workers (including NGOs),Contract,"RM4,001- RM5,000",Ke- 2
2022,FSKTM,Fac1,Female,23,Malaysian,Asasi UPM,Band 3,BACELOR KEJURUTERAAN PERISIAN,3.42,2018,2022,Bekerja sepenuh masa,Profesional,Private workers (including NGOs),Permanent,"RM3,001- RM4,000",Pertama
2022,FSKTM,Fac1,Female,23,Malaysian,Matrikulasi KPM,Band 3,BACELOR SAINS KOMPUTER (MULTIMEDIA),3.67,2018,2022,Bekerja separa masa,Profesional,Self-employed/Freelance,Not applicable,"RM1,501- RM2,000",-2
2022,FSKTM,Fac1,Female,23,Malaysian,Matrikulasi KPM,Band 3,BACELOR SAINS KOMPUTER (MULTIMEDIA),3.38,2018,2022,Bekerja sepenuh masa,Profesional,Private workers (including NGOs),Contract,"RM1,501- RM2,000",Pertama
2022,FSKTM,Fac1,Female,23,Malaysian,Matrikulasi KPM,Band 4,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.37,2018,2022,Bekerja sepenuh masa,Profesional,Government employees,Contract,"RM1,501- RM2,000",Pertama
2022,FSKTM,Fac1,Male,23,Malaysian,Asasi UPM,Band 3,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.82,2018,2022,Bekerja sepenuh masa,Profesional,Private workers (including NGOs),Permanent,"RM3,001- RM4,000",Pertama
2022,FSKTM,Fac1,Female,23,Malaysian,Matrikulasi KPM,Band 3,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.44,2018,2022,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2022,FSKTM,Fac1,Female,23,Malaysian,Matrikulasi KPM,Band 2,BACELOR SAINS KOMPUTER (MULTIMEDIA),3.39,2018,2022,Bekerja sepenuh masa,Profesional,Private workers (including NGOs),Permanent,"RM3,001- RM4,000",Pertama
2022,FSKTM,Fac1,Female,23,Malaysian,Asasi UPM,Band 4,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.75,2018,2022,Bekerja sepenuh masa,Profesional,Private workers (including NGOs),Contract,"RM1,501- RM2,000",Pertama
2022,FSKTM,Fac1,Female,23,Malaysian,Matrikulasi KPM,Band 4,BACELOR SAINS KOMPUTER (MULTIMEDIA),3.29,2018,2022,Bekerja sepenuh masa,Profesional,Private workers (including NGOs),Permanent,"RM2,001- RM2,500",Pertama
2022,FSKTM,Fac1,Female,23,Malaysian,Matrikulasi KPM,Band 4,BACELOR SAINS KOMPUTER (MULTIMEDIA),3.55,2018,2022,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2022,FSKTM,Fac1,Female,23,Malaysian,Matrikulasi KPM,Band 4,BACELOR SAINS KOMPUTER (MULTIMEDIA),3.33,2018,2022,Bekerja sepenuh masa,Pekerja Perkhidmatan dan Jualan,Private workers (including NGOs),Temporary,"RM1,000 dan ke bawah",Pertama
2022,FSKTM,Fac1,Female,25,Malaysian,Diploma,Band 3,BACELOR SAINS KOMPUTER (MULTIMEDIA),3.06,2018,2022,Bekerja sepenuh masa,Profesional,Government employees,Contract,"RM2,501- RM3,000",Pertama
2022,FSKTM,Fac1,Male,23,Malaysian,Matrikulasi KPM,Band 3,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.37,2018,2022,Bekerja separa masa,Pekerja Perkhidmatan dan Jualan,Private workers (including NGOs),Temporary,"RM1,001- RM1,500",Pertama
2022,FSKTM,Fac1,Female,23,Malaysian,Matrikulasi KPM,Band 3,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.68,2018,2022,Bekerja sepenuh masa,Profesional,Private workers (including NGOs),Permanent,"RM1,501- RM2,000",Pertama
2022,FSKTM,Fac1,Male,23,Malaysian,Asasi UPM,Band 4,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.67,2018,2022,Bekerja separa masa,Pekerjaan Asas,Private workers (including NGOs),Temporary,"RM1,501- RM2,000",11
2022,FSKTM,Fac1,Male,23,Malaysian,Asasi UPM,Band 3,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.48,2018,2022,Bekerja sepenuh masa,Pekerjaan Angkatan Tentera,Government employees,Contract,"RM2,501- RM3,000",Pertama
2022,FSKTM,Fac1,Female,25,Malaysian,Diploma,Band 3,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.48,2018,2022,Bekerja sepenuh masa,Profesional,Private workers (including NGOs),Contract,"RM3,001- RM4,000",Pertama
2022,FSKTM,Fac1,Male,23,Malaysian,Matrikulasi KPM,Band 4,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.13,2018,2022,Bekerja separa masa,Pekerja Sokongan Perkeranian,Private workers (including NGOs),Temporary,"RM1,001- RM1,500",Pertama
2022,FSKTM,Fac1,Male,23,Malaysian,Matrikulasi KPM,Band 4,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.32,2018,2022,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2022,FSKTM,Fac1,Male,23,Malaysian,Matrikulasi KPM,Band 3,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.77,2018,2022,Bekerja sepenuh masa,Profesional,Private workers (including NGOs),Contract,"RM3,001- RM4,000",Pertama
2022,FSKTM,Fac1,Female,23,Malaysian,Matrikulasi KPM,Band 3,BACELOR SAINS KOMPUTER (MULTIMEDIA),3.31,2018,2022,Bekerja sepenuh masa,Profesional,Private workers (including NGOs),Contract,"RM2,001- RM2,500",Pertama
2022,FSKTM,Fac1,Female,23,Malaysian,Asasi UPM,Band 3,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.7,2018,2022,Bekerja sepenuh masa,Profesional,Private workers (including NGOs),Contract,"RM1,501- RM2,000",Pertama
2022,FSKTM,Fac1,Female,23,Malaysian,Matrikulasi KPM,Band 3,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.4,2018,2022,Bekerja sepenuh masa,Profesional,Private workers (including NGOs),Permanent,"RM3,001- RM4,000",Pertama
2022,FSKTM,Fac1,Male,23,Malaysian,Matrikulasi KPM,Band 4,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.62,2018,2022,Bekerja sepenuh masa,Profesional,Private workers (including NGOs),Contract,"RM2,001- RM2,500",Pertama
2022,FSKTM,Fac1,Female,23,Malaysian,Matrikulasi KPM,Band 3,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.24,2018,2022,Bekerja sepenuh masa,Profesional,Private workers (including NGOs),Permanent,"RM2,001- RM2,500",Pertama
2022,FSKTM,Fac1,Female,23,Malaysian,Matrikulasi KPM,Band 3,BACELOR KEJURUTERAAN PERISIAN,3.81,2018,2022,Bekerja sepenuh masa,Profesional,Private workers (including NGOs),Permanent,"RM3,001- RM4,000",Pertama
2022,FSKTM,Fac1,Female,23,Malaysian,Asasi UPM,Band 4,BACELOR KEJURUTERAAN PERISIAN,3.83,2018,2022,Bekerja sepenuh masa,Profesional,Private workers (including NGOs),Contract,"RM3,001- RM4,000",Pertama
2022,FSKTM,Fac1,Female,23,Non-Malaysian,Lain-lain,Band 3,BACELOR SAINS KOMPUTER (MULTIMEDIA),3.58,2017,2022,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2022,FSKTM,Fac1,Male,23,Malaysian,Matrikulasi KPM,Band 4,BACELOR KEJURUTERAAN PERISIAN,3.37,2018,2022,Bekerja sepenuh masa,Profesional,Private workers (including NGOs),Contract,"RM2,501- RM3,000",Pertama
2022,FSKTM,Fac1,Male,23,Malaysian,Matrikulasi KPM,Band 3,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.59,2018,2022,Bekerja sepenuh masa,Profesional,Private workers (including NGOs),Permanent,"RM3,001- RM4,000",Pertama
2022,FSKTM,Fac1,Female,25,Malaysian,Diploma,Band 3,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.64,2018,2022,Bekerja sepenuh masa,Profesional,Government employees,Contract,"RM2,501- RM3,000",Pertama
2022,FSKTM,Fac1,Female,44,Malaysian,Diploma,Band 3,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.7,2018,2022,Bekerja sepenuh masa,Juruteknik dan Profesional Bersekutu,Government employees,Permanent,"RM5,001- RM10,000",Pertama
2022,FSKTM,Fac1,Female,23,Malaysian,Matrikulasi KPM,Band 5,BACELOR KEJURUTERAAN PERISIAN,3.45,2018,2022,Bekerja sepenuh masa,Profesional,Private workers (including NGOs),Permanent,"RM3,001- RM4,000",Pertama
2022,FSKTM,Fac1,Male,23,Malaysian,Matrikulasi KPM,Band 3,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.54,2018,2022,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2022,FSKTM,Fac1,Female,23,Malaysian,Matrikulasi KPM,Band 5,BACELOR KEJURUTERAAN PERISIAN,3.89,2018,2022,Bekerja sepenuh masa,Profesional,Private workers (including NGOs),Permanent,"RM4,001- RM5,000",Pertama
2022,FSKTM,Fac1,Male,23,Malaysian,Matrikulasi KPM,Band 3,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.36,2018,2022,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2022,FSKTM,Fac1,Female,24,Malaysian,STPM Aliran Sains,Band 4,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.78,2018,2022,Bekerja sepenuh masa,Profesional,Private workers (including NGOs),Permanent,"RM2,501- RM3,000",Pertama
2022,FSKTM,Fac1,Female,23,Malaysian,Matrikulasi KPM,Band 4,BACELOR KEJURUTERAAN PERISIAN,3.41,2018,2022,Bekerja sepenuh masa,Juruteknik dan Profesional Bersekutu,Private workers (including NGOs),Contract,"RM1,501- RM2,000",Pertama
2022,FSKTM,Fac1,Male,23,Malaysian,Matrikulasi KPM,Band 4,BACELOR KEJURUTERAAN PERISIAN,3.49,2018,2022,Bekerja sepenuh masa,Profesional,Private workers (including NGOs),Permanent,"RM3,001- RM4,000",Pertama
2022,FSKTM,Fac1,Male,23,Malaysian,Matrikulasi KPM,Band 4,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.42,2018,2022,Bekerja sepenuh masa,Profesional,Private workers (including NGOs),Contract,"RM1,501- RM2,000",Pertama
2022,FSKTM,Fac1,Female,24,Malaysian,Matrikulasi KPM,Band 3,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.49,2018,2022,Bekerja sepenuh masa,Profesional,Private workers (including NGOs),Permanent,"RM3,001- RM4,000",Ke- 2
2022,FSKTM,Fac1,Male,25,Malaysian,Diploma,Band 3,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.5,2018,2022,Bekerja sepenuh masa,Profesional,Private workers (including NGOs),Permanent,"RM2,501- RM3,000",Pertama
2022,FSKTM,Fac1,Male,24,Malaysian,Matrikulasi KPM,Band 3,BACELOR KEJURUTERAAN PERISIAN,2.88,2017,2022,Bekerja sepenuh masa,Profesional,Government employees,Contract,"RM2,001- RM2,500",Pertama
2022,FSKTM,Fac1,Female,24,Non-Malaysian,Lain-lain,Band 2,BACELOR KEJURUTERAAN PERISIAN,2.63,2018,2022,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2022,FSKTM,Fac1,Male,22,Non-Malaysian,Lain-lain,Band 3,BACELOR KEJURUTERAAN PERISIAN,3.43,2018,2022,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2022,FSKTM,Fac1,Female,23,Malaysian,Matrikulasi KPM,Band 3,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.4,2018,2022,Bekerja sepenuh masa,Profesional,Private workers (including NGOs),Permanent,"RM2,501- RM3,000",Pertama
2022,FSKTM,Fac1,Female,23,Malaysian,Matrikulasi KPM,Band 5,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),3.71,2018,2022,Bekerja sepenuh masa,Profesional,Private workers (including NGOs),Contract,"RM1,501- RM2,000",Pertama
2022,FP,Fac2,Male,25,Malaysian,Diploma,Band 3,BACELOR SAINS PERNIAGAANTANI,3.53,2018,2022,Bekerja sepenuh masa,Pekerja Sokongan Perkeranian,Private workers (including NGOs),Permanent,"RM1,501- RM2,000",Pertama
2022,FP,Fac2,Male,26,Malaysian,Diploma,Band 3,BACELOR SAINS PERNIAGAANTANI,3.44,2018,2022,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2022,FP,Fac2,Male,24,Malaysian,STPM Aliran Sains,Band 5,BACELOR SAINS PERTANIAN,3.93,2018,2022,Bekerja sepenuh masa,Profesional,Private workers (including NGOs),Contract,"RM2,001- RM2,500",Pertama
2022,FP,Fac2,Male,23,Malaysian,Asasi UPM,Band 4,BACELOR SAINS PERTANIAN,3.94,2018,2022,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2022,FP,Fac2,Male,23,Malaysian,Matrikulasi KPM,Band 3,BACELOR PERTANIAN (SAINS TERNAKAN),3.65,2018,2022,Bekerja sepenuh masa,Juruteknik dan Profesional Bersekutu,Private workers (including NGOs),Contract,"RM1,501- RM2,000",Pertama
2022,FP,Fac2,Male,24,Malaysian,Matrikulasi KPM,Band 4,BACELOR PERTANIAN (SAINS TERNAKAN),3.64,2018,2022,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2022,FP,Fac2,Male,41,Malaysian,Diploma,Band 3,BACELOR SAINS PERTANIAN,3.77,2018,2022,Bekerja sepenuh masa,Juruteknik dan Profesional Bersekutu,Government employees,Permanent,"RM5,001- RM10,000",Pertama
2022,FP,Fac2,Male,42,Malaysian,Diploma,Band 3,BACELOR SAINS PERTANIAN,3.9,2018,2022,Bekerja sepenuh masa,Juruteknik dan Profesional Bersekutu,Government employees,Permanent,"RM5,001- RM10,000",11
2022,FP,Fac2,Male,24,Malaysian,STPM Aliran Sastera,Band 3,BACELOR SAINS PERNIAGAANTANI,3.39,2018,2022,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2022,FP,Fac2,Male,45,Malaysian,Diploma,Band 3,BACELOR SAINS PERTANIAN,3.93,2018,2022,Bekerja sepenuh masa,Juruteknik dan Profesional Bersekutu,Government employees,Permanent,"RM5,001- RM10,000",Pertama
2022,FP,Fac2,Male,43,Malaysian,Diploma,Band 2,BACELOR SAINS PERTANIAN,3.71,2018,2022,Bekerja sepenuh masa,Juruteknik dan Profesional Bersekutu,Government employees,Permanent,"RM4,001- RM5,000",11
2022,FP,Fac2,Male,40,Malaysian,Diploma,Band 2,BACELOR SAINS PERNIAGAANTANI,3.59,2018,2022,Bekerja sepenuh masa,Juruteknik dan Profesional Bersekutu,Government employees,Permanent,"RM4,001- RM5,000",Pertama
2022,FP,Fac2,Male,23,Malaysian,Asasi UPM,Band 4,BACELOR SAINS PERTANIAN,3.8,2018,2022,Bekerja sepenuh masa,Juruteknik dan Profesional Bersekutu,Private workers (including NGOs),Permanent,"RM3,001- RM4,000",Pertama
2022,FP,Fac2,Female,23,Malaysian,Asasi UPM,Band 4,BACELOR SAINS PERTANIAN,3.75,2018,2022,Bekerja sepenuh masa,Profesional,Private workers (including NGOs),Contract,"RM1,501- RM2,000",Pertama
2022,FP,Fac2,Female,24,Malaysian,Matrikulasi KPM,Band 3,BACELOR SAINS PERTANIAN,3.86,2018,2022,Bekerja sepenuh masa,Profesional,Private workers (including NGOs),Permanent,"RM2,001- RM2,500",Pertama
2022,FP,Fac2,Female,23,Malaysian,Asasi UPM,Band 3,BACELOR SAINS PERTANIAN,3.93,2018,2022,Bekerja sepenuh masa,Profesional,Private workers (including NGOs),Contract,"RM1,501- RM2,000",Pertama
2022,FP,Fac2,Female,23,Malaysian,Matrikulasi KPM,Band 2,BACELOR SAINS PERTANIAN,3.77,2018,2022,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2022,FP,Fac2,Female,23,Malaysian,Asasi UPM,Band 3,BACELOR SAINS PERTANIAN,3.78,2018,2022,Bekerja sepenuh masa,Juruteknik dan Profesional Bersekutu,Private workers (including NGOs),Contract,"RM1,001- RM1,500",Pertama
2022,FP,Fac2,Female,23,Malaysian,Matrikulasi KPM,Band 3,BACELOR SAINS PERTANIAN,3.84,2018,2022,Bekerja separa masa,Juruteknik dan Profesional Bersekutu,Private workers (including NGOs),Temporary,"RM1,001- RM1,500",Pertama
2022,FP,Fac2,Male,23,Malaysian,Asasi UPM,Band 3,BACELOR SAINS PERTANIAN,3.74,2018,2022,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2022,FP,Fac2,Male,23,Malaysian,Asasi UPM,Band 3,BACELOR SAINS PERTANIAN,3.74,2018,2022,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2022,FP,Fac2,Male,35,Malaysian,Diploma,Band 2,BACELOR SAINS PERTANIAN,3.9,2018,2022,Bekerja sepenuh masa,Juruteknik dan Profesional Bersekutu,Government employees,Permanent,"RM4,001- RM5,000",11
2022,FP,Fac2,Male,23,Malaysian,Asasi UPM,Band 2,BACELOR SAINS PERTANIAN,3.75,2018,2022,Bekerja sepenuh masa,Profesional,Private workers (including NGOs),Permanent,"RM2,001- RM2,500",Pertama
2022,FP,Fac2,Male,23,Malaysian,Asasi UPM,Band 4,BACELOR SAINS PERTANIAN,3.86,2018,2022,Bekerja sepenuh masa,Juruteknik dan Profesional Bersekutu,Private workers (including NGOs),Permanent,"RM2,501- RM3,000",Pertama
2022,FP,Fac2,Male,25,Malaysian,Diploma,Band 3,BACELOR PERTANIAN (AKUAKULTUR),3.3,2018,2022,Bekerja separa masa,Pekerja Perkhidmatan dan Jualan,Private workers (including NGOs),Temporary,"RM1,001- RM1,500",Pertama
2022,FP,Fac2,Male,25,Malaysian,Diploma,Band 4,BACELOR PERTANIAN (AKUAKULTUR),3.42,2018,2022,Bekerja sepenuh masa,"Pekerja Mahir Pertanian, Perhutanan dan Perikanan",Employer,Not applicable,"RM1,001- RM1,500",-2
2022,FP,Fac2,Male,25,Malaysian,Diploma,Band 3,BACELOR PERTANIAN (AKUAKULTUR),3.33,2018,2022,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2022,FP,Fac2,Male,26,Malaysian,Diploma,Band 3,BACELOR PERTANIAN (AKUAKULTUR),3.32,2018,2022,Bekerja sepenuh masa,Pekerjaan Asas,Private workers (including NGOs),Temporary,"RM2,001- RM2,500",Pertama
2022,FP,Fac2,Male,23,Malaysian,Asasi UPM,Band 4,BACELOR PERTANIAN (SAINS TERNAKAN),3.45,2018,2022,Bekerja separa masa,Pekerja Perkhidmatan dan Jualan,Private workers (including NGOs),Temporary,"RM1,001- RM1,500",11
2022,FP,Fac2,Male,23,Malaysian,Asasi UPM,Band 3,BACELOR PERTANIAN (AKUAKULTUR),3.44,2018,2022,Bekerja sepenuh masa,Pekerjaan Asas,Private workers (including NGOs),Contract,"RM1,501- RM2,000",Pertama
2022,FP,Fac2,Male,25,Malaysian,Diploma,Band 3,BACELOR PERTANIAN (AKUAKULTUR),3.63,2018,2022,Bekerja sepenuh masa,"Pekerja Mahir Pertanian, Perhutanan dan Perikanan",Private workers (including NGOs),Permanent,"RM1,501- RM2,000",Ke- 2
2022,FP,Fac2,Male,23,Malaysian,Matrikulasi KPM,Band 3,BACELOR SAINS PERNIAGAANTANI,3.22,2018,2022,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2022,FP,Fac2,Male,23,Malaysian,Matrikulasi KPM,Band 3,BACELOR PERTANIAN (SAINS TERNAKAN),3.32,2018,2022,Bekerja separa masa,Pekerjaan Asas,Private workers (including NGOs),Temporary,"RM1,000 dan ke bawah",11
2022,FP,Fac2,Male,25,Malaysian,Diploma,Band 2,BACELOR SAINS HORTIKULTUR,3.12,2018,2022,Bekerja separa masa,Pekerjaan Asas,Employer,Not applicable,"RM1,000 dan ke bawah",-2
2022,FP,Fac2,Male,25,Malaysian,Diploma,Band 4,BACELOR PERTANIAN (SAINS TERNAKAN),3.41,2018,2022,Bekerja sepenuh masa,Pekerja Perkhidmatan dan Jualan,Private workers (including NGOs),Permanent,"RM1,501- RM2,000",Pertama
2022,FP,Fac2,Male,23,Malaysian,Matrikulasi KPM,Band 3,BACELOR SAINS PERNIAGAANTANI,3.6,2018,2022,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2022,FP,Fac2,Male,23,Malaysian,Matrikulasi KPM,Band 3,BACELOR SAINS PERNIAGAANTANI,3.66,2018,2022,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2022,FP,Fac2,Male,23,Malaysian,Asasi UPM,Band 3,BACELOR PERTANIAN (AKUAKULTUR),3.7,2018,2022,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2022,FP,Fac2,Male,23,Malaysian,Asasi UPM,Band 3,BACELOR SAINS PERTANIAN,3.79,2018,2022,Bekerja sepenuh masa,Pengurus,Private workers (including NGOs),Contract,"RM2,501- RM3,000",Pertama
2022,FP,Fac2,Male,23,Malaysian,Asasi UPM,Band 4,BACELOR SAINS PERTANIAN,3.72,2018,2022,Bekerja sepenuh masa,Juruteknik dan Profesional Bersekutu,Government employees,Contract,"RM1,501- RM2,000",Pertama
2022,FP,Fac2,Male,25,Malaysian,Diploma,Band 4,BACELOR PERTANIAN (AKUAKULTUR),3.78,2018,2022,Melanjutkan pengajian (SKPG 2.0),-2,-2.0,Not applicable,Tidak Berkaitan,-2
2022,FP,Fac2,Male,23,Malaysian,Asasi UPM,Band 3,BACELOR PERTANIAN (SAINS TERNAKAN),3.74,2018,2022,Bekerja sepenuh masa,Profesional,Private workers (including NGOs),Permanent,"RM2,001- RM2,500",Pertama
2022,FP,Fac2,Male,23,Malaysian,Matrikulasi KPM,Band 3,BACELOR PERTANIAN (AKUAKULTUR),3.68,2018,2022,Bekerja sepenuh masa,Juruteknik dan Profesional Bersekutu,Private workers (including NGOs),Temporary,"RM1,000 dan ke bawah",Pertama
2022,FP,Fac2,Male,23,Malaysian,Matrikulasi KPM,Band 4,BACELOR PERTANIAN (SAINS TERNAKAN),3.49,2018,2022,Bekerja sepenuh masa,Juruteknik dan Profesional Bersekutu,Private workers (including NGOs),Temporary,"RM1,501- RM2,000",Pertama
2022,FP,Fac2,Male,23,Malaysian,Asasi UPM,Band 2,BACELOR SAINS PERTANIAN,3.62,2018,2022,Bekerja sepenuh masa,Pekerja Perkhidmatan dan Jualan,Private workers (including NGOs),Contract,"RM1,001- RM1,500",Pertama
2022,FP,Fac2,Male,23,Malaysian,Asasi UPM,Band 4,BACELOR SAINS PERTANIAN,3.78,2018,2022,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2022,FP,Fac2,Male,23,Malaysian,Asasi UPM,Band 3,BACELOR SAINS PERTANIAN,3.88,2018,2022,Bekerja sepenuh masa,Profesional,Private workers (including NGOs),Contract,"RM2,501- RM3,000",Pertama
2022,FP,Fac2,Male,23,Malaysian,Asasi UPM,Band 3,BACELOR SAINS PERTANIAN,3.86,2018,2022,Bekerja sepenuh masa,Profesional,Private workers (including NGOs),Contract,"RM1,501- RM2,000",Pertama
2022,FP,Fac2,Male,23,Malaysian,Asasi UPM,Band 4,BACELOR SAINS PERTANIAN,3.72,2018,2022,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2022,FP,Fac2,Female,23,Malaysian,Asasi UPM,Band 4,BACELOR PERTANIAN (AKUAKULTUR),3.81,2018,2022,Belum/Tidak bekerja,-2,-2.0,Not applicable,Tidak Berkaitan,-2
2022,FP,Fac2,Female,24,Malaysian,STPM Aliran Sains,Band 5,BACELOR PERTANIAN (SAINS TERNAKAN),3.96,2018,2022,Melanjutkan pengajian (SKPG 2.0),-2,-2.0,Not applicable,Tidak Berkaitan,-2
